Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Mar-2025),Crossref citations (as of 24-Mar-2025)
A Discrete-Time Hazard Analysis of the Role of Gender in Persistence in the Economics Major,John F Chizmar,The Journal of Economic Education,31,2,p107 - p118,2000,10.1080/00220480009596768,25-Mar-2010,https://doi.org/10.1080/00220480009596768,127.0,26.0
"Unemployment, the Great Recession, and apprenticeship attrition in the U.S.",Cihan Bilginsoy,Journal of Vocational Education & Training,70,2,p171 - p192,2018,10.1080/13636820.2017.1392999,23-Oct-2017,https://doi.org/10.1080/13636820.2017.1392999,659.0,6.0
The positioning of GCSE and Functional Skills in Further Education: how do vocational students make sense of post-16 mathematics pathways?,Jennifer Norris,Research in Mathematics Education,25,1,p43 - p61,2023,10.1080/14794802.2021.2010239,23-May-2022,https://doi.org/10.1080/14794802.2021.2010239,3210.0,0.0
Frequency of receiving requested data for a systematic review and associated factors: A cross-sectional study,"Natália Dutra Dos Reis, Taís Freire Galvão, Carolina Müller Ferreira, Marcus Tolentino Silva",Accountability in Research,29,3,p165 - p177,2022,10.1080/08989621.2021.1910029,13-Apr-2021,https://doi.org/10.1080/08989621.2021.1910029,226.0,1.0
Research Progress on the Role of Education in Tourism and Hospitality. A Bibliometric Analysis,"Miquel Àngel Coll-Ramis, Juanabel Genovart-Balaguer, Patricia Horrach-Rosselló, Aitor Martinez-Garcia",Journal of Hospitality & Tourism Education,36,4,p320 - p332,2024,10.1080/10963758.2023.2180377,02-Mar-2023,https://doi.org/10.1080/10963758.2023.2180377,1155.0,10.0
Airbag moderation: the definition and statistical implementation of a new methodological model,"Nicole Baumann, James Hall, Ariel Lindorff, Lars-Erik Malmberg, Pam Sammons",International Journal of Research & Method in Education,43,4,p379 - p394,2020,10.1080/1743727x.2020.1735334,01-Mar-2020,https://doi.org/10.1080/1743727x.2020.1735334,442.0,4.0
RECENTLY PUBLISHED DISSERTATIONS ON COMMUNITY AND JUNIOR COLLEGES,,Community College Journal of Research and Practice,26,2,p199 - p201,2002,10.1080/106689202753385528,11-Nov-2010,https://doi.org/10.1080/106689202753385528,8.0,0.0
RECENTLY PUBLISHED DISSERTATIONS ON COMMUNITY AND JUNIOR COLLEGES,,Community College Journal of Research and Practice,26,1,p99 - p101,2002,10.1080/106689202753365052,11-Nov-2010,https://doi.org/10.1080/106689202753365052,5.0,0.0
A Meta-View of Multivariate Statistical Inference Methods in European Psychology Journals,"Sunny R Duerr, Ellen L Hamaker, Lisa L Harlow, Joop Hox, Elly Korendijk",Multivariate Behavioral Research,48,5,p749 - p774,2013,10.1080/00273171.2013.822784,01-Oct-2013,https://doi.org/10.1080/00273171.2013.822784,601.0,6.0
"When neighbours matter most: innovation, diffusion and state policy adoption in tertiary education","Lora Cohen-Vogel, William Kyle Ingle",Journal of Education Policy,22,3,p241 - p262,2007,10.1080/02680930701269152,05-Apr-2007,https://doi.org/10.1080/02680930701269152,779.0,27.0
"Competing, Coordinating, or Collaborating: Perspectives on the Community College Baccalaureate Within the Context of Mission Differentiation","Ivy Love, Jonathan Matthew Turk",Community College Journal of Research and Practice,48,12,p758 - p772,2024,10.1080/10668926.2023.2236050,21-Jul-2023,https://doi.org/10.1080/10668926.2023.2236050,172.0,0.0
The Enactment of Reforms in State Governance of Higher Education: Testing the Political Instability Hypothesis,"Russ Deaton, James C Hearn, Michael K McLendon",The Journal of Higher Education,78,6,p645 - p675,2007,10.1080/00221546.2007.11772075,21-Oct-2016,https://doi.org/10.1080/00221546.2007.11772075,413.0,21.0
Modelling the Labour Market for Teachers: Some Lessons from the UK,Peter Dolton,Education Economics,4,2,p187 - p205,1996,10.1080/09645299600000016,28-Jul-2006,https://doi.org/10.1080/09645299600000016,32.0,5.0
"Young women's perceptions and experiences of sexual risk in Suva, Fiji","Linda Rae Bennett, Elke Mitchell","Culture, Health & Sexuality",22,5,p504 - p519,2020,10.1080/13691058.2019.1614669,30-May-2019,https://doi.org/10.1080/13691058.2019.1614669,581.0,11.0
"The impact of begin to ECSEL on children's self-regulation, executive functions and learning","Katsiaryna Aniskovich, Howard Cabral, Susanne A Denham, Donna K Housman",Early Child Development and Care,193,2,p159 - p173,2023,10.1080/03004430.2022.2071869,12-May-2022,https://doi.org/10.1080/03004430.2022.2071869,760.0,5.0
Teaching Note-Incorporating Journal Clubs Into Social Work Education: An Exploratory Model,"Sarah M Accomazzo, Kya Fawley-King, Megan Moore, Susan I Stone",Journal of Social Work Education,49,2,p353 - p360,2013,10.1080/10437797.2013.768494,04-Mar-2013,https://doi.org/10.1080/10437797.2013.768494,1770.0,5.0
Predictors of Persistence for Developmental Math Students in a Community and Technical College System,"J Cody Davidson, Joseph M Petrosko",Community College Journal of Research and Practice,39,2,p163 - p178,2015,10.1080/10668926.2013.782831,15-Aug-2014,https://doi.org/10.1080/10668926.2013.782831,725.0,4.0
Reshaping the Arc of Quantitative Educational Research: It's Time to Broaden Our Paradigm,Judith D Singer,Journal of Research on Educational Effectiveness,12,4,p570 - p593,2019,10.1080/19345747.2019.1658835,06-Dec-2019,https://doi.org/10.1080/19345747.2019.1658835,1249.0,18.0
"Time to degree: students' abilities, university characteristics or something else? Evidence from Italy","Carmen Aina, Eliana Baici, Giorgia Casalone",Education Economics,19,3,p311 - p325,2011,10.1080/09645292.2011.585016,22-Jul-2011,https://doi.org/10.1080/09645292.2011.585016,611.0,50.0
Re-forming Teacher Education: The Promise of Extended Programs,Angela Breidenstein,Kappa Delta Pi Record,36,3,p111 - p115,2000,10.1080/00228958.2000.10532033,03-Aug-2012,https://doi.org/10.1080/00228958.2000.10532033,9.0,0.0
How Integration Matters: An Alternative Vision for Urban Education in an Era of the Market,Joseph B Johnston,Journal of School Choice,10,4,p516 - p536,2016,10.1080/15582159.2016.1238437,30-Nov-2016,https://doi.org/10.1080/15582159.2016.1238437,139.0,0.0
"SECONDARY ANALYSIS IN SOCIAL WORK RESEARCH EDUCATION: PAST, PRESENT, AND FUTURE PROMISE","Antonio Fevola, Sara Lichtenwalter, Esther Sales",Journal of Social Work Education,42,3,p543 - p560,2006,10.5175/jswe.2006.200404136,16-Mar-2013,https://doi.org/10.5175/jswe.2006.200404136,365.0,13.0
School Disciplinary Responses to Truancy: Current Practice and Future Directions,"K Brigid Flannery, Jennifer L Frank, Mary McGrath Kato",Journal of School Violence,11,2,p118 - p137,2012,10.1080/15388220.2011.653433,03-Apr-2012,https://doi.org/10.1080/15388220.2011.653433,1524.0,34.0
"""How We Know What We Know"": A Systematic Comparison of Research Methods Employed in Higher Education Journals, 1996-2000 v. 2006-2010","Ethan A Kolek, Daniel B Saunders, Ryan S Wells, Elizabeth A Williams",The Journal of Higher Education,86,2,p171 - p198,2015,10.1080/00221546.2015.11777361,31-Oct-2016,https://doi.org/10.1080/00221546.2015.11777361,891.0,22.0
Children in Motion: School Transfers and Elementary School Performance,"Karl L Alexander, Susan L Dauber, Doris R Entwisle",The Journal of Educational Research,90,1,p3 - p12,1996,10.1080/00220671.1996.9944438,15-Jul-2010,https://doi.org/10.1080/00220671.1996.9944438,178.0,103.0
The Determinants of State Spending on Higher Education: How Capital Project Funding Differs from General Fund Appropriations,"Erik C Ness, David A Tandberg",The Journal of Higher Education,84,3,p329 - p362,2013,10.1080/00221546.2013.11777292,31-Oct-2016,https://doi.org/10.1080/00221546.2013.11777292,345.0,7.0
Publication rates after the first retraction for biomedical researchers with multiple retracted publications,"Mark J Bolland, Andrew Grey, Vyoma Mistry",Accountability in Research,26,5,p277 - p287,2019,10.1080/08989621.2019.1612244,14-May-2019,https://doi.org/10.1080/08989621.2019.1612244,650.0,12.0
Absence Unexcused: A Systematic Review on Truancy,"Karen Babbs Hollett, Zoë R Mandel, Christine Rickert, Ericka S Weathers",Peabody Journal of Education,96,5,p540 - p564,2021,10.1080/0161956x.2021.1991696,17-Nov-2021,https://doi.org/10.1080/0161956x.2021.1991696,2970.0,12.0
Grave fraudulence in medical device research: a narrative review of the PIN seeding study for the Pinnacle hip system,"David S Egilman, Ella A Fassler, Kevin J Reardon, Joan E Steffen",Accountability in Research,25,1,p37 - p66,2018,10.1080/08989621.2017.1405259,19-Dec-2017,https://doi.org/10.1080/08989621.2017.1405259,8539.0,7.0
Power Analysis Software for Educational Researchers,"Serdar Abaci, Haiying Long, Chao-Ying Joanne Peng",The Journal of Experimental Education,80,2,p113 - p136,2012,10.1080/00220973.2011.647115,10-Feb-2012,https://doi.org/10.1080/00220973.2011.647115,1545.0,22.0
Ajowan Oil Potentiates Ros-mediated Teratogenic Effect in Zebrafish Embryos,"Sun Chul Kang, Sang Ho Kim, Chanchal Sharma",Journal of Essential Oil Bearing Plants,20,4,p883 - p896,2017,10.1080/0972060x.2017.1383193,13-Oct-2017,https://doi.org/10.1080/0972060x.2017.1383193,124.0,9.0
The causal effect of off-campus work on time to degree,"Andreas Behr, Katja Theune",Education Economics,24,2,p189 - p209,2016,10.1080/09645292.2014.974509,04-Nov-2014,https://doi.org/10.1080/09645292.2014.974509,430.0,21.0
Mediation Analysis With a Survival Mediator,Hanjoe Kim,Multivariate Behavioral Research,52,1,p105 - p106,2017,10.1080/00273171.2016.1263549,27-Dec-2016,https://doi.org/10.1080/00273171.2016.1263549,240.0,0.0
Women Science Majors,"Belle Brett, Paula Rayman",The Journal of Higher Education,66,4,p388 - p414,1995,10.1080/00221546.1995.11774787,01-Nov-2016,https://doi.org/10.1080/00221546.1995.11774787,35.0,12.0
On the Cross-Country Comparability of Indicators of Socioeconomic Resources in PISA,"Francesca Borgonovi, Carina McCormick, Artur Pokropek",Applied Measurement in Education,30,4,p243 - p258,2017,10.1080/08957347.2017.1353985,01-Sep-2017,https://doi.org/10.1080/08957347.2017.1353985,871.0,23.0
The Undergraduate Origins of PhD Economists,"John J Siegfried, Wendy A Stock",The Journal of Economic Education,38,4,p461 - p482,2007,10.3200/jece.38.4.461-482,07-Aug-2010,https://doi.org/10.3200/jece.38.4.461-482,186.0,11.0
Timeliness and content of retraction notices for publications by a single research group,"Alison Avenell, Mark Bolland, Andrew Grey",Accountability in Research,29,6,p347 - p378,2022,10.1080/08989621.2021.1920409,05-May-2021,https://doi.org/10.1080/08989621.2021.1920409,529.0,16.0
A Bayesian Hierarchical Selection Model for Academic Growth With Missing Data,Jeff Allen,Applied Measurement in Education,30,2,p147 - p162,2017,10.1080/08957347.2017.1283318,02-Mar-2017,https://doi.org/10.1080/08957347.2017.1283318,242.0,1.0
Prediction of Academic Performance by Means of the Swedish Scholastic Assessment Test,Per-Erik Lyrén,Scandinavian Journal of Educational Research,52,6,p565 - p581,2008,10.1080/00313830802497158,26-Nov-2008,https://doi.org/10.1080/00313830802497158,283.0,9.0
"Partisans, Professionals, and Power: The Role of Political Factors in State Higher Education Funding","James C Hearn, Michael K McLendon, Christine G Mokher",The Journal of Higher Education,80,6,p686 - p713,2009,10.1080/00221546.2009.11779040,31-Oct-2016,https://doi.org/10.1080/00221546.2009.11779040,1530.0,108.0
"Problems in the Pipeline: Gender, Marriage, and Fertility in the Ivory Tower","Marc Goulden, Mary Ann Mason, Nicholas H Wolfinger",The Journal of Higher Education,79,4,p388 - p405,2008,10.1080/00221546.2008.11772108,21-Oct-2016,https://doi.org/10.1080/00221546.2008.11772108,1167.0,176.0
Social identity theories and educational engagement,Sean Kelly,British Journal of Sociology of Education,30,4,p449 - p462,2009,10.1080/01425690902954620,16-Jun-2009,https://doi.org/10.1080/01425690902954620,5700.0,43.0
Questioning the Use of Outcome Measures to Evaluate Principal Preparation Programs,"Ed Fuller, Liz Hollingworth",Leadership and Policy in Schools,17,2,p167 - p188,2018,10.1080/15700763.2016.1270332,18-Jan-2017,https://doi.org/10.1080/15700763.2016.1270332,448.0,6.0
Academic performance of language-minority students and all-day kindergarten: a longitudinal study,Mido Chang,School Effectiveness and School Improvement,23,1,p21 - p48,2012,10.1080/09243453.2011.600524,07-Sep-2011,https://doi.org/10.1080/09243453.2011.600524,905.0,8.0
Educational mismatch and retirement,"Keith A Bender, John S Heywood",Education Economics,25,4,p347 - p365,2017,10.1080/09645292.2016.1234586,26-Sep-2016,https://doi.org/10.1080/09645292.2016.1234586,323.0,6.0
Student Relational Bonding - the key to focusing on needs of the individual - a UK study,"Aftab Dean, Paul Gibbs, John Graeme McLean",Journal of Marketing for Higher Education,,,p1 - p15,5187,10.1080/08841241.2022.2089943,18-Jul-2022,https://doi.org/10.1080/08841241.2022.2089943,996.0,1.0
"The study of talk between teachers and students, from the 1970s until the 2010s","Lyn Dawes, Neil Mercer",Oxford Review of Education,40,4,p430 - p445,2014,10.1080/03054985.2014.934087,31-Jul-2014,https://doi.org/10.1080/03054985.2014.934087,9820.0,158.0
Reviews,,Mathematics Magazine,55,2,p117 - p119,1982,10.1080/0025570x.1982.11976967,13-Feb-2018,https://doi.org/10.1080/0025570x.1982.11976967,10.0,0.0
A Project-Based Approach to Statistics and Data Science,David White,PRIMUS,29,9,p997 - p1038,2019,10.1080/10511970.2018.1488781,20-Mar-2019,https://doi.org/10.1080/10511970.2018.1488781,507.0,7.0
Duration Analysis Applied to the Adoption of Knowledge,"Isabel Cuadrado Gordillo, Juan A Vega-Cervera",Education Economics,9,1,p19 - p36,2001,10.1080/09645290124568,01-Jul-2010,https://doi.org/10.1080/09645290124568,27.0,1.0
Mplus Trees: Structural Equation Model Trees Using Mplus,"Andreas M Brandmaier, Demi Culianos, Kevin J Grimm, Ross Jacobucci, Sarfaraz Serang, Gabriela Stegmann",Structural Equation Modeling: A Multidisciplinary Journal,28,1,p127 - p137,2021,10.1080/10705511.2020.1726179,19-Feb-2020,https://doi.org/10.1080/10705511.2020.1726179,1742.0,10.0
Rank Advancement in Academia: What are the Roles of Postdoctoral Training?,Xuhong Su,The Journal of Higher Education,85,1,p65 - p90,2014,10.1080/00221546.2014.11777319,31-Oct-2016,https://doi.org/10.1080/00221546.2014.11777319,85.0,1.0
Book review,Ronald H Heck,Structural Equation Modeling: A Multidisciplinary Journal,3,2,p193 - p195,1996,10.1080/10705519609540038,03-Nov-2009,https://doi.org/10.1080/10705519609540038,24.0,0.0
Teaching with Technology: May You Live in Interesting Times,"William L Goffe, Kim Sosin",The Journal of Economic Education,36,3,p278 - p291,2005,10.3200/jece.36.3.278-291,07-Aug-2010,https://doi.org/10.3200/jece.36.3.278-291,462.0,46.0
Contents Index Volume 9,,Educational Research and Evaluation,9,4,p393 - p394,2003,10.1076/edre.9.4.393.17812,09-Aug-2010,https://doi.org/10.1076/edre.9.4.393.17812,7.0,0.0
"Generalizability of Dynamic Fit Index, Equivalence Testing, and Hu & Bentler Cutoffs for Evaluating Fit in Factor Analysis",Daniel McNeish,Multivariate Behavioral Research,58,1,p195 - p219,2023,10.1080/00273171.2022.2163477,14-Feb-2023,https://doi.org/10.1080/00273171.2022.2163477,1116.0,11.0
Lessons Learned From Talking With Parents About the Role of Hematopoietic Stem Cell Transplantation in the Treatment of Children With Sickle Cell Disease,"Paola Friedrich, Mary Margaret Hays, Francis Kim, Leslie Lehmann, Philippa Sprinz, Elizabeth Steinfield",American Journal of Health Education,46,3,p144 - p156,2015,10.1080/19325037.2015.1021059,08-May-2015,https://doi.org/10.1080/19325037.2015.1021059,287.0,4.0
What works in attracting and retaining teachers in challenging schools and areas?,"Stephen Gorard, Rebecca Morris, Beng Huat See, Nada el Soufi",Oxford Review of Education,46,6,p678 - p697,2020,10.1080/03054985.2020.1775566,30-Jun-2020,https://doi.org/10.1080/03054985.2020.1775566,24980.0,64.0
Book review,Xenophon A Koufteros,Structural Equation Modeling: A Multidisciplinary Journal,3,3,p300 - p302,1996,10.1080/10705519609540046,03-Nov-2009,https://doi.org/10.1080/10705519609540046,23.0,0.0
What Causes Variation in States' Accountability Policies?,Kathryn A McDermott,Peabody Journal of Education,78,4,p153 - p176,2003,10.1207/s15327930pje7804_08,18-Nov-2009,https://doi.org/10.1207/s15327930pje7804_08,147.0,25.0
"Risk, prudence and moral formation in the laboratory",Paul Scherz,Journal of Moral Education,47,3,p304 - p315,2018,10.1080/03057240.2017.1406345,08-Jan-2018,https://doi.org/10.1080/03057240.2017.1406345,301.0,2.0
Environmental Health Risk Communication: Assessing Levels of Fish-Consumption Literacy Among Selected Southeast Asians,"Colleen Caron, Valerie Esposito, Thomas D Getz, Beverly Migliore, Anthony D Panzara, Daniela N Quilliam, Dhitinut Ratnapradipa, Alicia B Wodika, Christina Zarcadoolas",Applied Environmental Education & Communication,9,4,p251 - p261,2010,10.1080/1533015x.2010.530893,10-Dec-2010,https://doi.org/10.1080/1533015x.2010.530893,354.0,6.0
Teaching biostatistics at the Kuwait University health science centre,"Abdulbari Bener, Mohamed A A Moussa",Teaching and Learning in Medicine,4,2,p120 - p124,1992,10.1080/10401339209539546,03-Nov-2009,https://doi.org/10.1080/10401339209539546,14.0,1.0
Mathematics for biological sciences undergraduates: a needs assessment,"Pablo A Durán, Jill A Marshall",International Journal of Mathematical Education in Science and Technology,50,6,p807 - p824,2019,10.1080/0020739x.2018.1537451,26-Oct-2018,https://doi.org/10.1080/0020739x.2018.1537451,521.0,6.0
Postsecondary students' understanding of statistics through story-based tasks,"Olive Chapman, Collette Lemieux",International Journal of Mathematical Education in Science and Technology,,,p1 - p23,5187,10.1080/0020739x.2024.2353895,26-May-2024,https://doi.org/10.1080/0020739x.2024.2353895,69.0,0.0
Strengthening the Early Childhood Workforce: How Wage Incentives May Boost Training and Job Stability,"Margaret Bridges, Bruce Fuller, Bridget K Hamre, Danny S Huang",Early Education and Development,22,6,p1009 - p1029,2011,10.1080/10409289.2010.514537,12-Dec-2011,https://doi.org/10.1080/10409289.2010.514537,2017.0,23.0
Minority Enrollment Patterns In Wisconsin And The Role Of Educational Research,Robert Birnbaum,Equity & Excellence in Education,14,3,p7 - p11,1976,10.1080/0020486760140302,09-Jul-2006,https://doi.org/10.1080/0020486760140302,2.0,0.0
A Boost for the Middle Class: An Evaluation of No-Loan Policies and Elite Private College Enrollment,"Andrew S Belasco, James C Hearn, Kelly Ochs Rosinger",The Journal of Higher Education,90,1,p27 - p55,2019,10.1080/00221546.2018.1484222,19-Jul-2018,https://doi.org/10.1080/00221546.2018.1484222,1442.0,14.0
Book review,Paul Kolm,Teaching and Learning in Medicine,2,2,p110 - p111,1990,10.1080/10401339009539440,03-Nov-2009,https://doi.org/10.1080/10401339009539440,5.0,0.0
"Insurance, reinsurance and catastrophe modelling",Matthew Foote,Geography,93,2,p119 - p121,2008,10.1080/00167487.2008.12094230,11-Aug-2020,https://doi.org/10.1080/00167487.2008.12094230,23.0,0.0
Recruiting and Retaining Teachers in Rural Schools: A Systematic Review of the Literature,"J Cameron Anglum, Abigail Burrola, Aaron Park, Evan Rhinesmith",Peabody Journal of Education,98,4,p347 - p363,2023,10.1080/0161956x.2023.2238491,01-Aug-2023,https://doi.org/10.1080/0161956x.2023.2238491,1203.0,9.0
Vocational rehabilitation of adolescents and young adults with autism spectrum disorder: a review,"Kyriaki Sarri, Christine K Syriopoulou-Delli",International Journal of Developmental Disabilities,71,1,p41 - p60,2025,10.1080/20473869.2023.2208898,11-May-2023,https://doi.org/10.1080/20473869.2023.2208898,395.0,4.0
"A Bigger Rock, a Steeper Hill: PLA, Race, and the Color of Learning","Frances A Boyce, Cathy Leaker",The Journal of Continuing Higher Education,63,3,p199 - p204,2015,10.1080/07377363.2015.1085949,17-Nov-2015,https://doi.org/10.1080/07377363.2015.1085949,167.0,2.0
Improving statistical skills through students' participation in the development of resources,"Irene Biza, Eugénie Vande Hey",International Journal of Mathematical Education in Science and Technology,46,2,p163 - p186,2015,10.1080/0020739x.2014.950707,15-Sep-2014,https://doi.org/10.1080/0020739x.2014.950707,300.0,2.0
Feasibility of Conducting Child Abuse Research with Girls in Juvenile Detention Using Audio-Computer Assisted Self-Interview (ACASI) Technology,"Christine M Forke, Nancy Hirschinger-Blank, Alexandra Kenyon, Rachel K Myers, Donald F Schwarz, Xuemei Zhang",Journal of Criminal Justice Education,25,2,p210 - p235,2014,10.1080/10511253.2014.883419,21-Feb-2014,https://doi.org/10.1080/10511253.2014.883419,206.0,0.0
Career advancement in audit firms: an empirical study of university-educated and non university-educated Dutch auditors,Roger H G Meuwissen,Accounting Education,7,1,p35 - p50,1998,10.1080/096392898331298,05-Oct-2010,https://doi.org/10.1080/096392898331298,152.0,7.0
Evaluation of the Impact of the NWC REU Program Compared with Other Undergraduate Research Experiences,"Wilson J Gonzalez-Espada, Daphne S LaDue",Journal of Geoscience Education,54,5,p541 - p549,2006,10.5408/1089-9995-54.5.541,31-Jan-2018,https://doi.org/10.5408/1089-9995-54.5.541,173.0,20.0
Family treatment of childhood anxiety,Vanessa E Cobham,The Australian Educational and Developmental Psychologist,16,1,p25 - p45,1999,10.1017/s0816512200050057,19-Oct-2020,https://doi.org/10.1017/s0816512200050057,21.0,0.0
"Exit, choice and loyalty: the impact of parental choice on admissions to secondary schools in Edinburgh and Dundee","Michael Adler, Gillian M Raab",Journal of Education Policy,3,2,p155 - p179,1988,10.1080/0268093880030205,29-Sep-2006,https://doi.org/10.1080/0268093880030205,79.0,27.0
Editorial,"Barry Cooper, Pat Sikes, Ian Stronach, Harry Torrance",British Educational Research Journal,33,6,p813 - p817,2007,10.1080/01411920701656951,19-Nov-2007,https://doi.org/10.1080/01411920701656951,45.0,0.0
A Comparison of the Number of Student Presentations in a Hospitality Marketing Course,Raymond Ferreira,Journal of Hospitality & Tourism Education,9,3,p93 - p96,1997,10.1080/10963758.1997.10685338,06-Jun-2013,https://doi.org/10.1080/10963758.1997.10685338,20.0,0.0
"Are low-skilled young people increasingly useless, and are men the losers among them?","Hans-Tore Hansen, Thomas Lorentzen, Kristoffer Chelsom Vogt",Journal of Education and Work,33,5-6,p392 - p409,2020,10.1080/13639080.2020.1820965,07-Oct-2020,https://doi.org/10.1080/13639080.2020.1820965,4461.0,14.0
"Occupational Physical Activity, Overweight, and Mortality","Sidsel Graff-Iversen, Randi Selmer, Svetlana Skurtveit, Marit Sørensen",Research Quarterly for Exercise and Sport,78,3,p151 - p161,2007,10.1080/02701367.2007.10599412,23-Jan-2013,https://doi.org/10.1080/02701367.2007.10599412,191.0,1.0
Spirituality and mental health among children and youth - a Swedish point of view,Katarina Westerlund,International Journal of Children's Spirituality,21,3-4,p216 - p229,2016,10.1080/1364436x.2016.1258392,30-Nov-2016,https://doi.org/10.1080/1364436x.2016.1258392,927.0,3.0
The rights of older people? Reflections on one institutional response to ageing,Kerry Brydon,Reflective Practice,15,2,p119 - p130,2014,10.1080/14623943.2013.868791,18-Dec-2013,https://doi.org/10.1080/14623943.2013.868791,435.0,1.0
Why a Diverse Leadership Pipeline Matters: The Empirical Evidence,Frank Perrone,Leadership and Policy in Schools,21,1,p5 - p18,2022,10.1080/15700763.2021.2022707,03-Feb-2022,https://doi.org/10.1080/15700763.2021.2022707,1447.0,9.0
Research Training in Social Work,"Mark W Fraser, Jeffrey M Jenson, Robert E Lewis",Journal of Social Work Education,29,1,p46 - p62,1993,10.1080/10437797.1993.10778798,05-Feb-2014,https://doi.org/10.1080/10437797.1993.10778798,15.0,33.0
Attitudes of Medical Graduate and Undergraduate Students toward the Learning and Application of Medical Statistics,"Ling Liu, Xiaoyu Liu, Yazhou Wu, Dong Yi, Ling Zhang, Yanqi Zhang",Journal of Biological Education,49,3,p220 - p231,2015,10.1080/00219266.2014.923487,16-Jun-2014,https://doi.org/10.1080/00219266.2014.923487,254.0,4.0
"A little too much of the buchenwald touch? Military radiation research at the university of Cincinnati, 1960-1972","David Egilman, Fernando Mora-Corrasco, Cassandra Stubbs, Wes Wallace",Accountability in Research,6,1-2,p63 - p103,1998,10.1080/08989629808573921,10-Jun-2008,https://doi.org/10.1080/08989629808573921,228.0,4.0
'Change creates change' - older female sex workers' experiences through the early COVID-19 pandemic,"Rachael P Brennan, Judith A Dean, Lisa Fitzgerald, Linda Selvey","Culture, Health & Sexuality",26,4,p466 - p482,2024,10.1080/13691058.2023.2224869,24-Jun-2023,https://doi.org/10.1080/13691058.2023.2224869,3536.0,0.0
Data falsification and question on academic integrity,"Monirul Alam Hossain, Mohammad Nurunnabi",Accountability in Research,26,2,p108 - p122,2019,10.1080/08989621.2018.1564664,16-Jan-2019,https://doi.org/10.1080/08989621.2018.1564664,2109.0,17.0
Simulating System Mean-Time-to-Failure on a Personal Computer,"Edward J Fisher, Roger L Hayen, James P Scott",Computer Science Education,2,3,p213 - p230,1991,10.1080/0899340910020303,03-Aug-2006,https://doi.org/10.1080/0899340910020303,12.0,1.0
Catalyzing teacher moves in small-group problem solving: a quantitative discourse analysis,"Alexander White, Isabel White, William Zahner",International Journal of Research & Method in Education,,,p1 - p15,5187,10.1080/1743727x.2024.2384732,01-Aug-2024,https://doi.org/10.1080/1743727x.2024.2384732,93.0,0.0
"Ideologies, Gender and School Policy: a Comparative Study of Two Swiss Regions (1860-1930)",Anne-Françoise Praz,Paedagogica Historica,42,3,p345 - p361,2006,10.1080/00309230600622741,30-Jun-2006,https://doi.org/10.1080/00309230600622741,198.0,5.0
Better understanding of ageing research through a 12-week laboratory course for undergraduates majoring in biotechnology,"Li Dong, Honglin Li, Jianying Shan, Jie Shen, Hao Tang, Yifan Xu, Lichao Zhong",Journal of Biological Education,57,1,p24 - p35,2023,10.1080/00219266.2021.1877775,26-Jan-2021,https://doi.org/10.1080/00219266.2021.1877775,174.0,0.0
"Review of Longitudinal Structural Equation Modeling: A Comprehensive Introduction, by Jason T. Newsom",Nidhi Kohli,Structural Equation Modeling: A Multidisciplinary Journal,24,1,p154 - p155,2017,10.1080/10705511.2016.1202772,21-Jul-2016,https://doi.org/10.1080/10705511.2016.1202772,420.0,1.0
From attrition to retention: a narrative inquiry of why beginning teachers leave and then rejoin the profession,Gary James Harfitt,Asia-Pacific Journal of Teacher Education,43,1,p22 - p35,2015,10.1080/1359866x.2014.932333,07-Jul-2014,https://doi.org/10.1080/1359866x.2014.932333,2820.0,48.0
Statistical Methods for Describing Developmental Patterns,Margaret R Burchinal,Early Education and Development,10,1,p83 - p99,1999,10.1207/s15566935eed1001_6,08-Jun-2010,https://doi.org/10.1207/s15566935eed1001_6,75.0,4.0
Mixed messages: inconsistent sexual scripts in Australian teenage magazines and implications for sexual health practices,Melanie C Burns,Sex Education,18,2,p191 - p205,2018,10.1080/14681811.2017.1415876,18-Dec-2017,https://doi.org/10.1080/14681811.2017.1415876,507.0,5.0
Advances in Latent Variable Mixture Models,Edward E Rigdon,Structural Equation Modeling: A Multidisciplinary Journal,17,2,p350 - p354,2010,10.1080/10705511003661595,19-Apr-2010,https://doi.org/10.1080/10705511003661595,478.0,1.0
News,,Journal of Health Education,23,2,p128 - p128,1992,10.1080/10556699.1992.10610026,08-Mar-2013,https://doi.org/10.1080/10556699.1992.10610026,2.0,0.0
Two centuries of disability disadvantages in Swedish partnerships,"Johan Junkka, Kateryna Karhina, Lotta Vikström",Disability & Society,39,7,p1629 - p1655,2024,10.1080/09687599.2022.2160924,18-Jan-2023,https://doi.org/10.1080/09687599.2022.2160924,902.0,0.0
Why People Die Before They Expect To,"Brett Hemenway, David Hemenway",Mathematics Magazine,91,3,p171 - p181,2018,10.1080/0025570x.2018.1421388,31-May-2018,https://doi.org/10.1080/0025570x.2018.1421388,1069.0,0.0
An Empirical Comparison of Selected Enrollment Projection Formulas,William J Webster,The Journal of Educational Research,64,8,p375 - p381,1971,10.1080/00220671.1971.10884194,03-Dec-2014,https://doi.org/10.1080/00220671.1971.10884194,2.0,1.0
The market for (Ir)reproducible econometrics,"Susan Feigenbaum, David M Levy",Accountability in Research,3,1,p25 - p43,1993,10.1080/08989629308573828,11-Jun-2008,https://doi.org/10.1080/08989629308573828,30.0,8.0
